Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
627,0.16716,0.0222174,0.0171975
628,0.17169,0.0221539,0.0153617
629,0.168444,0.0226647,0.0172024
630,0.190683,0.0220414,0.017485
631,0.173076,0.0224677,0.0163549
632,0.179815,0.0222437,0.0162543
633,0.191919,0.0221684,0.0201905
634,0.17398,0.023017,0.0201864
635,0.182554,0.0228427,0.0198914
636,0.216683,0.0222834,0.0204492
637,0.209166,0.0225995,0.0201157
638,0.179992,0.0222499,0.0182496
639,0.191346,0.0224568,0.0188952
640,0.175483,0.0225246,0.0175308
641,0.169546,0.0226647,0.0194989
642,0.22541,0.0223792,0.0206869
643,0.164249,0.022168,0.0180867
644,0.167003,0.0221349,0.0159126
645,0.167063,0.0222362,0.0198586
646,0.167439,0.022061,0.0152208
647,0.166814,0.0222537,0.0194251
648,0.167134,0.022268,0.0187071
649,0.167489,0.0220407,0.0164466
650,0.166513,0.0220648,0.0171215
651,0.166529,0.0222362,0.0188073
652,0.167892,0.0220777,0.018398
653,0.167893,0.0222859,0.0188439
654,0.167538,0.0222717,0.0188594
655,0.166772,0.0220545,0.0180712
656,0.166756,0.022265,0.0178206
657,0.166586,0.022037,0.0208857
658,0.16363,0.0222683,0.0173841
659,0.166925,0.0221198,0.0195275
660,0.163357,0.0223305,0.018156
661,0.166891,0.0222072,0.0186714
662,0.166823,0.0222453,0.0185164
663,0.219787,0.0219882,0.0537936
664,0.1692,0.0220825,0.0156965
665,0.165667,0.0224371,0.0180025
666,0.169606,0.0222459,0.0170641
667,0.165697,0.0225553,0.016901
668,0.168952,0.0222832,0.017449
669,0.165764,0.0224924,0.0173162
670,0.168337,0.0221878,0.016683
671,0.168199,0.0224618,0.0184336
672,0.168949,0.0224355,0.0186424
673,0.169173,0.0224124,0.018562
674,0.164905,0.0223609,0.0179816
675,0.170006,0.0220771,0.01548
676,0.165371,0.0223066,0.0169176
677,0.168574,0.022577,0.0161619
678,0.16532,0.022458,0.0175077
679,0.16531,0.0223423,0.0178114
680,0.164983,0.0222657,0.0174453
681,0.168238,0.0221349,0.0178821
682,0.165123,0.0225516,0.0186363
683,0.165933,0.022365,0.017943
684,0.174643,0.0223721,0.0167676
685,0.164475,0.0222405,0.0180414
686,0.16424,0.022122,0.0196043
687,0.16374,0.0224986,0.0182495
688,0.163988,0.0220615,0.0172549
689,0.164754,0.0220273,0.0179277
690,0.167999,0.0220658,0.0189257
691,0.163405,0.0225217,0.0174005
692,0.18054,0.0221104,0.0200365
693,0.170524,0.0222377,0.0211907
694,0.170067,0.0226417,0.0196305
695,0.166275,0.0225057,0.019745
696,0.167876,0.0221504,0.0157319
697,0.168374,0.0223155,0.0216433
698,0.167976,0.0223824,0.0201245
699,0.169614,0.0224072,0.0189102
700,0.171146,0.0230461,0.0187715
701,0.16795,0.0226479,0.0174606
702,0.167945,0.0225929,0.0165687
703,0.168335,0.0225805,0.0171721
704,0.168238,0.023049,0.0182779
705,0.169002,0.022362,0.017761
706,0.169379,0.0226898,0.0166118
707,0.164392,0.0227795,0.0173536
708,0.167728,0.0221723,0.0169024
709,0.168784,0.0226565,0.0167553
710,0.169096,0.0224194,0.0163173
711,0.169003,0.0225866,0.0168113
712,0.168845,0.0223426,0.0173561
713,0.167654,0.0226605,0.0179762
714,0.168897,0.0226057,0.0176678
715,0.165697,0.0227178,0.0171888
716,0.169466,0.0222009,0.0168759
717,0.168357,0.0224432,0.0173432
718,0.166241,0.0225074,0.0183609
719,0.16844,0.0221829,0.0164108
720,0.165285,0.0223749,0.0197974
721,0.167636,0.0223686,0.016992
722,0.201642,0.0226108,0.018938
723,0.16734,0.0219904,0.0161378
724,0.173689,0.0222267,0.0182744
725,0.166207,0.0221918,0.0183901
726,0.165908,0.022218,0.0176592
727,0.169421,0.0223473,0.0171991
728,0.164585,0.0223464,0.0173432
729,0.16914,0.0221221,0.0197906
730,0.170614,0.0224398,0.0200931
731,0.19042,0.0221356,0.0189867
732,0.169915,0.0227052,0.0213949
